id,label,text,user
53376,1,source of noise coming from ac compressor replaced ac $T$ and noise is no longer present|compressor|,1
53375,1,source of noise coming from ac $T$ replaced ac compressor and noise is no longer present|compressor|,1
53374,1,as per maint schedule  perform k service change oil and filter reset maintenance indicator replace d spark plugs replace pollen filter lube all latches and hinges clean out inter coolers and $T$ exchangers check and clear any faults|heat|,1
53373,NA,verified customer concern test drove vehicle and heard rattling noise coming from under the car drove back to shop and lifted vehicle on air with appropriate hoist upon inspection found drive line rear differential side mount is broken causing driveline to rub against fuel tank heat shield recommend replacing drive line then reevaluate concern replaced propeller shaft due to torn bushing test drove vehicle and rechecked ok at this time drive shaft no longer rubbing on fuel tank $T$ shield|heat|,1
53372,0,verified customer concern test drove vehicle and heard rattling noise coming from under the car drove back to shop and lifted vehicle on air with appropriate hoist upon inspection found drive line rear differential side mount is broken causing driveline to rub against fuel tank $T$ shield recommend replacing drive line then reevaluate concern replaced propeller shaft due to torn bushing test drove vehicle and rechecked ok at this time drive shaft no longer rubbing on fuel tank heat shield|heat|,1
53371,1,do not hear noise coming from blower motor while vehicle was up in the air i did notice that the ac compressor is leaking removed and replaced leakey ac $T$ with new one recharged sys with  lbs of a sys blows out  a cool  degrees dont see any leaks|compressor|,1
53370,1,do not hear noise coming from blower motor while vehicle was up in the air i did notice that the ac $T$ is leaking removed and replaced leakey ac compressor with new one recharged sys with  lbs of a sys blows out  a cool  degrees dont see any leaks|compressor|,1
53369,NA,do not hear noise coming from $T$ while vehicle was up in the air i did notice that the ac compressor is leaking removed and replaced leakey ac compressor with new one recharged sys with  lbs of a sys blows out  a cool  degrees dont see any leaks|blower motor|,1
53368,-1,declined fault check code popa check heating circuit for o sensor left bank sensor  check lamadaok values determine $T$ circuit o sensor implausible rec o sensor left bank sensor must start with o sensor then test left side cat efficiency also rec spark plugs as per time declined flag hrscp|heating|,1
53367,-1,declined fault check code popa check $T$ circuit for o sensor left bank sensor  check lamadaok values determine heating circuit o sensor implausible rec o sensor left bank sensor must start with o sensor then test left side cat efficiency also rec spark plugs as per time declined flag hrscp|heating|,1
53366,-1,found noise coming from blower motor while noise was happening unplugged blower motor and found noise is no longer present recommend replacing $T$ declined repair at this time|blower motor|,1
53365,-1,found noise coming from blower motor while noise was happening unplugged $T$ and found noise is no longer present recommend replacing blower motor declined repair at this time|blower motor|,1
53364,-1,found noise coming from $T$ while noise was happening unplugged blower motor and found noise is no longer present recommend replacing blower motor declined repair at this time|blower motor|,1
53363,1,remove passenger side lower panel and glove box replace ac $T$ per customer request|blower motor|,1
53362,0,tested ac blower blower slowed in speed and made whirling noise after about  mins of testing removed blower and bench tested blower getting  volts as it should once blower started slowing down watched the pwm signal only sit at  volts and not go any higher at this point i recommend new blower motor resistor pack however due to motor slowing down when heat started to build up in motor it may need blower motor as well recommend starting with known part failure of resistor first then retesttested ac blower blower slowed in speed and made whirling noise after about  mins of testing removed blower and bench tested blower getting  volts as it should once blower started slowing down watched the pwm signal only sit at  volts and not go any higher at this point i recommend new blower motor resistor pack however due to motor slowing down when heat started to build up in motor it may need $T$ as well recommend starting with known part failure of resistor first then retest|blower motor|,1
53361,0,tested ac blower blower slowed in speed and made whirling noise after about  mins of testing removed blower and bench tested blower getting  volts as it should once blower started slowing down watched the pwm signal only sit at  volts and not go any higher at this point i recommend new blower motor resistor pack however due to motor slowing down when heat started to build up in motor it may need blower motor as well recommend starting with known part failure of resistor first then retesttested ac blower blower slowed in speed and made whirling noise after about  mins of testing removed blower and bench tested blower getting  volts as it should once blower started slowing down watched the pwm signal only sit at  volts and not go any higher at this point i recommend new blower motor resistor pack however due to motor slowing down when $T$ started to build up in motor it may need blower motor as well recommend starting with known part failure of resistor first then retest|heat|,1
53360,0,tested ac blower blower slowed in speed and made whirling noise after about  mins of testing removed blower and bench tested blower getting  volts as it should once blower started slowing down watched the pwm signal only sit at  volts and not go any higher at this point i recommend new blower motor resistor pack however due to motor slowing down when heat started to build up in motor it may need blower motor as well recommend starting with known part failure of resistor first then retesttested ac blower blower slowed in speed and made whirling noise after about  mins of testing removed blower and bench tested blower getting  volts as it should once blower started slowing down watched the pwm signal only sit at  volts and not go any higher at this point i recommend new $T$ resistor pack however due to motor slowing down when heat started to build up in motor it may need blower motor as well recommend starting with known part failure of resistor first then retest|blower motor|,1
53359,0,tested ac blower blower slowed in speed and made whirling noise after about  mins of testing removed blower and bench tested blower getting  volts as it should once blower started slowing down watched the pwm signal only sit at  volts and not go any higher at this point i recommend new blower motor resistor pack however due to motor slowing down when heat started to build up in motor it may need $T$ as well recommend starting with known part failure of resistor first then retesttested ac blower blower slowed in speed and made whirling noise after about  mins of testing removed blower and bench tested blower getting  volts as it should once blower started slowing down watched the pwm signal only sit at  volts and not go any higher at this point i recommend new blower motor resistor pack however due to motor slowing down when heat started to build up in motor it may need blower motor as well recommend starting with known part failure of resistor first then retest|blower motor|,1
53358,NA,tested ac blower blower slowed in speed and made whirling noise after about  mins of testing removed blower and bench tested blower getting  volts as it should once blower started slowing down watched the pwm signal only sit at  volts and not go any higher at this point i recommend new blower motor resistor pack however due to motor slowing down when $T$ started to build up in motor it may need blower motor as well recommend starting with known part failure of resistor first then retesttested ac blower blower slowed in speed and made whirling noise after about  mins of testing removed blower and bench tested blower getting  volts as it should once blower started slowing down watched the pwm signal only sit at  volts and not go any higher at this point i recommend new blower motor resistor pack however due to motor slowing down when heat started to build up in motor it may need blower motor as well recommend starting with known part failure of resistor first then retest|heat|,1
53357,0,tested ac blower blower slowed in speed and made whirling noise after about  mins of testing removed blower and bench tested blower getting  volts as it should once blower started slowing down watched the pwm signal only sit at  volts and not go any higher at this point i recommend new $T$ resistor pack however due to motor slowing down when heat started to build up in motor it may need blower motor as well recommend starting with known part failure of resistor first then retesttested ac blower blower slowed in speed and made whirling noise after about  mins of testing removed blower and bench tested blower getting  volts as it should once blower started slowing down watched the pwm signal only sit at  volts and not go any higher at this point i recommend new blower motor resistor pack however due to motor slowing down when heat started to build up in motor it may need blower motor as well recommend starting with known part failure of resistor first then retest|blower motor|,1
53356,NA,customer states ac blows warm on passenger side ran pre val tested operation of ac system with settings as customer left them  set to auto checked ac vent temperatures c left c right printout of values attached ran ac at max c left c right $T$ temp c no fault found with ac system at this time very cold air on both sides|evaporator|,1
53355,1,open campaign wh replaced reducing agent $T$ element and reducing agent as per campaign wh|heating|,1
