id,label,text,user
47164,1,completed  $T$|mile service|,1
46731,1,as per maint schedule  tech  completed k $T$  drain engine oil and replace oil filter oring seal drain plug washer and top of with l added fuel additive completed vehicle inspection and top of fluid levels as needed performed  mile test drive and set tire pressures  clock and recheck oil level reset service interval and stamp service book|mile service|,1
46732,1,as per maint schedule  tech  completed k mile service  drain $T$ and replace oil filter oring seal drain plug washer and top of with l added fuel additive completed vehicle inspection and top of fluid levels as needed performed  mile test drive and set tire pressures  clock and recheck oil level reset service interval and stamp service book|engine oil|,1
46733,1,as per maint schedule  tech  completed k mile service  drain engine oil and replace $T$ oring seal drain plug washer and top of with l added fuel additive completed vehicle inspection and top of fluid levels as needed performed  mile test drive and set tire pressures  clock and recheck oil level reset service interval and stamp service book|oil filter|,1
46734,NA,as per maint schedule  tech  completed k mile service  drain engine oil and replace oil filter oring seal drain plug washer and top of with l added fuel additive completed vehicle inspection and top of fluid levels as needed performed  $T$ test drive and set tire pressures  clock and recheck oil level reset service interval and stamp service book|mile|,1
46735,0,rec $T$ cooler o ring seeping  rear main seal seeping  power steering rack seeping customer to monitor|oil filter|,1
46736,1,customer had  free oil changes  $T$ w as performed on  and the nd oil was perfor med on  customer has  oil change remai ning|oil change|,1
46737,NA,customer had  free oil changes  oil change w as performed on  and the nd oil was perfor med on  customer has  $T$ remai ning|oil change|,1
46738,0,recommend force regeneration with $T$  plus tax|oil change|,1
52171,0,recommend  $T$ recommend all  tires be replaced due to age an d tread on pass rear conto contact lx michelin lattitude tour hp tire size wheel alignment|mile service|,1
52172,0,recommend $T$ and  tires front tires|oil change|,1
46739,1,drained and refilled $T$ with mobil  full synthetic oil and replaced oil filter with oem part adjusted all fluid levels replaced pollen filter cleaned out air intakes and water drains checked for possible faults in control units performed visual inspection of front and rear suspension inspected engine compartment including belts hoses seals and gaskets checked function of interior and exterior lights performed multipoint visual inspection reset service indicator and performed minor road test front brake pads have mm remaining rear brake pads have mm remaining front tires have mm remaining rear tires have mm on the left and mm on the right remaining|engine oil|,1
46740,1,drained and refilled engine oil with mobil  full synthetic oil and replaced $T$ with oem part adjusted all fluid levels replaced pollen filter cleaned out air intakes and water drains checked for possible faults in control units performed visual inspection of front and rear suspension inspected engine compartment including belts hoses seals and gaskets checked function of interior and exterior lights performed multipoint visual inspection reset service indicator and performed minor road test front brake pads have mm remaining rear brake pads have mm remaining front tires have mm remaining rear tires have mm on the left and mm on the right remaining|oil filter|,1
46741,0,service   miles no history of being performed recommend performing k $T$|major service|,1
46742,1,performed service a with $T$ change topped off fluids and reset the counter corrected the tire pressures recommend spark plugs all dust filters transmission service and brake flush service items declined at this time|oil and filter|,1
